# BUSCO version is: 5.4.4 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
937275at2759	Complete	ctg000000_P	767208	768539	+	60.9	87
937686at2759	Complete	ctg000000_P	191362	192696	+	373.7	340
939345at2759	Complete	ctg000000_P	457300	458478	-	80.4	109
944899at2759	Complete	ctg000012_P	325707	326654	+	364.0	236
946128at2759	Complete	ctg000000_P	1065580	1067505	+	288.9	446
956854at2759	Missing
973442at2759	Complete	ctg000005_P	581230	582597	-	87.8	168
974865at2759	Complete	ctg000009_P	598651	599682	-	214.7	227
975158at2759	Complete	ctg000010_P	427968	429257	+	146.7	231
975557at2759	Complete	ctg000006_P	671453	673222	+	376.3	425
976469at2759	Missing
981902at2759	Complete	ctg000003_P	918945	920657	+	101.6	218
996662at2759	Complete	ctg000000_P	1001262	1002176	+	200.6	206
1001705at2759	Complete	ctg000014_P	161740	163017	+	186.7	260
1003258at2759	Complete	ctg000022_P	473818	475026	+	272.9	287
1010730at2759	Complete	ctg000008_P	520917	522191	-	378.5	288
1014314at2759	Complete	ctg000008_P	606256	607521	-	109.3	197
1018517at2759	Complete	ctg000003_P	471506	472405	-	299.3	203
1019762at2759	Complete	ctg000005_P	852484	854280	-	113.0	387
1025450at2759	Complete	ctg000107_P	66451	67743	-	175.0	303
1030907at2759	Complete	ctg000002_P	447596	448531	+	246.9	274
1032689at2759	Complete	ctg000022_P	197632	198780	-	177.6	156
1038775at2759	Missing
1041560at2759	Complete	ctg000107_P	139698	140990	-	197.5	283
1049599at2759	Missing
1051021at2759	Complete	ctg000008_P	237771	239414	-	289.7	282
1053181at2759	Missing
1057950at2759	Complete	ctg000022_P	465866	466879	+	220.9	233
1065019at2759	Complete	ctg000008_P	74506	75690	-	306.4	267
1076134at2759	Complete	ctg000107_P	162066	162926	+	204.9	186
1079130at2759	Complete	ctg000007_P	106960	108303	+	307.8	250
1079827at2759	Complete	ctg000010_P	163940	164722	+	338.1	223
1085752at2759	Complete	ctg000005_P	619065	620735	-	161.5	304
1087488at2759	Complete	ctg000107_P	264387	265934	-	152.1	249
1090038at2759	Complete	ctg000022_P	359012	360238	+	128.2	142
1094121at2759	Complete	ctg000022_P	637693	638298	-	101.6	129
1096688at2759	Complete	ctg000022_P	589521	590675	-	333.9	211
1106766at2759	Complete	ctg000007_P	241520	243259	+	161.6	228
1107630at2759	Complete	ctg000005_P	821630	822631	+	257.8	214
1108845at2759	Missing
1111142at2759	Complete	ctg000007_P	332917	334863	+	142.5	283
1112002at2759	Complete	ctg000003_P	549495	551945	-	397.8	529
1115196at2759	Complete	ctg000005_P	283836	285242	-	358.1	277
1128607at2759	Complete	ctg000005_P	377732	378757	+	293.7	210
1129824at2759	Complete	ctg000001_P	646246	646797	+	88.9	133
1138059at2759	Complete	ctg000012_P	123953	124777	+	283.8	206
1157302at2759	Complete	ctg000005_P	349703	350437	+	367.4	203
1161199at2759	Complete	ctg000107_P	234277	235164	-	32.7	130
1173229at2759	Complete	ctg000005_P	68536	70011	-	64.0	182
1178688at2759	Complete	ctg000000_P	1038694	1039329	-	97.2	140
1182451at2759	Complete	ctg000002_P	800329	801519	+	123.5	156
1193442at2759	Complete	ctg000007_P	99298	100746	+	288.4	310
1194691at2759	Complete	ctg000005_P	199031	200317	-	299.3	296
1194797at2759	Complete	ctg000002_P	74277	76565	+	305.8	456
1197019at2759	Complete	ctg000022_P	394283	394870	+	150.5	157
1200489at2759	Complete	ctg000008_P	561741	562616	-	102.5	108
1217666at2759	Complete	ctg000003_P	170007	170756	-	203.8	151
1220881at2759	Complete	ctg000005_P	270632	271645	-	97.3	170
1222562at2759	Complete	ctg000002_P	747935	748873	+	160.4	115
1223488at2759	Complete	ctg000002_P	826237	826974	-	59.9	77
1228942at2759	Complete	ctg000013_P	20833	21630	+	190.4	163
1233814at2759	Complete	ctg000011_P	442561	443525	-	147.5	165
1236198at2759	Complete	ctg000012_P	106675	107145	-	157.1	123
1247641at2759	Complete	ctg000001_P	172902	174728	+	136.1	262
1248958at2759	Complete	ctg000001_P	1065699	1068578	-	576.5	616
1249159at2759	Complete	ctg000000_P	473618	474241	+	115.0	154
1251252at2759	Complete	ctg000011_P	343151	344035	+	72.1	84
1257440at2759	Complete	ctg000010_P	411209	411742	+	155.2	128
1258856at2759	Complete	ctg000005_P	473152	475545	-	339.7	586
1259741at2759	Complete	ctg000000_P	1110103	1111335	+	389.1	226
1260807at2759	Complete	ctg000005_P	717065	718450	+	239.1	205
1264469at2759	Complete	ctg000000_P	838649	839653	+	166.6	146
1266231at2759	Complete	ctg000003_P	493809	494564	+	277.4	187
1269244at2759	Complete	ctg000000_P	748063	748857	+	74.0	112
1269649at2759	Complete	ctg000002_P	485760	486581	+	274.0	165
1275837at2759	Complete	ctg000002_P	274999	276012	+	346.4	257
1284731at2759	Complete	ctg000002_P	1030201	1030920	-	93.2	114
1287094at2759	Complete	ctg000006_P	393333	393995	-	121.0	127
1287401at2759	Complete	ctg000005_P	640191	641090	-	242.9	162
1291729at2759	Complete	ctg000002_P	1037033	1037614	-	55.4	106
1304061at2759	Complete	ctg000008_P	547834	548451	-	173.1	129
1309031at2759	Complete	ctg000003_P	323826	325775	-	208.5	365
1312453at2759	Complete	ctg000007_P	378296	382657	-	516.2	732
1314980at2759	Complete	ctg000003_P	357819	360395	+	279.1	445
1322299at2759	Complete	ctg000000_P	1384797	1386203	-	212.4	297
1322642at2759	Duplicated	ctg000014_P	133641	134837	-	145.7	142
1322642at2759	Duplicated	ctg000002_P	842869	844008	+	142.5	156
1323575at2759	Complete	ctg000005_P	277284	277811	-	152.2	113
1324510at2759	Complete	ctg000000_P	1207338	1208816	+	240.4	242
1338131at2759	Complete	ctg000000_P	1130469	1131035	-	238.9	139
1339553at2759	Complete	ctg000003_P	1021626	1022807	+	204.8	296
1342242at2759	Complete	ctg000022_P	668312	669802	+	131.4	180
1346165at2759	Complete	ctg000107_P	71923	73149	+	291.7	275
1346432at2759	Complete	ctg000009_P	262869	263618	-	111.8	186
1348942at2759	Complete	ctg000006_P	310872	311969	+	88.3	153
1355894at2759	Complete	ctg000005_P	148272	148856	+	166.2	139
1358374at2759	Complete	ctg000002_P	591949	592983	-	244.6	204
1364586at2759	Complete	ctg000002_P	752203	752964	-	103.6	167
1370285at2759	Complete	ctg000008_P	225600	228116	+	153.3	374
1370304at2759	Complete	ctg000010_P	521858	524056	+	165.8	404
1377237at2759	Complete	ctg000005_P	294400	295467	-	136.0	143
1379600at2759	Complete	ctg000022_P	395014	397479	-	225.0	481
1380409at2759	Complete	ctg000006_P	513057	513680	-	150.4	143
1382842at2759	Complete	ctg000022_P	311850	312488	-	102.4	116
1395649at2759	Complete	ctg000006_P	159857	160390	+	48.9	119
1398309at2759	Complete	ctg000012_P	61826	62371	+	59.3	91
1404162at2759	Complete	ctg000007_P	455241	457100	+	143.6	224
1405073at2759	Complete	ctg000005_P	788769	789311	-	225.8	158
1405146at2759	Complete	ctg000107_P	102573	103232	+	103.0	136
1407446at2759	Complete	ctg000003_P	246217	246759	-	43.1	86
1421503at2759	Complete	ctg000005_P	730025	730648	-	166.2	108
1423847at2759	Complete	ctg000002_P	777461	778561	-	227.6	257
1426075at2759	Complete	ctg000007_P	89489	90013	+	68.0	99
1428265at2759	Complete	ctg000005_P	794386	795390	-	154.0	207
1428854at2759	Complete	ctg000005_P	190852	193512	+	375.9	506
1430056at2759	Complete	ctg000009_P	182992	183627	-	110.9	124
1432328at2759	Complete	ctg000008_P	137473	138402	+	220.1	189
1434266at2759	Complete	ctg000000_P	1411361	1412242	+	93.5	152
1440961at2759	Complete	ctg000002_P	63884	65086	-	37.2	153
1441854at2759	Complete	ctg000022_P	588175	589149	-	233.7	279
1442062at2759	Complete	ctg000008_P	375025	376503	-	98.0	207
1445102at2759	Complete	ctg000005_P	47155	47955	-	179.2	190
1450538at2759	Complete	ctg000003_P	486858	487847	-	82.7	139
1454155at2759	Complete	ctg000000_P	1364160	1365122	+	70.9	118
1455730at2759	Fragmented	ctg000014_P	90072	91205	-	131.6	258
1459797at2759	Complete	ctg000008_P	431489	431875	+	75.8	95
1474000at2759	Complete	ctg000005_P	572143	572964	+	82.2	172
1479417at2759	Complete	ctg000002_P	178469	179107	-	207.9	186
1488235at2759	Complete	ctg000000_P	163912	164502	-	161.7	138
1488436at2759	Complete	ctg000005_P	36913	37356	-	121.5	62
1490022at2759	Complete	ctg000022_P	475265	475858	+	165.7	170
1504863at2759	Complete	ctg000000_P	934803	935459	+	108.7	125
1513531at2759	Complete	ctg000022_P	542114	542818	+	151.2	190
1525971at2759	Complete	ctg000007_P	155370	155927	-	91.8	79
1526152at2759	Missing
1530008at2759	Complete	ctg000011_P	279737	280351	+	132.9	88
1538526at2759	Complete	ctg000000_P	87967	88434	+	140.2	93
1545004at2759	Duplicated	ctg000022_P	199347	199598	-	70.3	63
1545004at2759	Duplicated	ctg000022_P	483220	483546	+	69.9	72
1552706at2759	Complete	ctg000006_P	52963	53781	-	86.1	91
1558822at2759	Complete	ctg000010_P	121572	121850	-	83.6	65
1563319at2759	Missing
1567796at2759	Complete	ctg000001_P	459846	460442	+	124.0	132
1575179at2759	Complete	ctg000009_P	193103	193435	+	27.9	43
1576404at2759	Complete	ctg000000_P	763760	764284	+	61.8	142
1588798at2759	Complete	ctg000009_P	582091	583134	-	81.8	91
1593937at2759	Complete	ctg000001_P	836838	838187	+	48.3	125
1617752at2759	Complete	ctg000001_P	482390	482695	+	114.6	93
1620056at2759	Complete	ctg000005_P	212561	212980	-	44.8	71
1623701at2759	Complete	ctg000001_P	1054491	1055060	+	97.4	91
1626636at2759	Fragmented	ctg000000_P	285037	285618	-	56.7	80
1633672at2759	Fragmented	ctg000003_P	978204	978470	-	105.6	81
1645187at2759	Complete	ctg000006_P	384884	385318	-	32.9	36
