# BUSCO version is: 5.4.4 
# The lineage dataset is: archaea_odb10 (Creation date: 2021-02-23, number of genomes: 404, number of BUSCOs: 194)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
860at2157	Missing
85279at2157	Complete	ctg000010_P	411282	411746	+	76.6	95	https://www.orthodb.org/v10?query=85279at2157	RNA-binding protein
85293at2157	Duplicated	ctg000005_P	147004	147342	-	164.6	106	https://www.orthodb.org/v10?query=85293at2157	30S ribosomal protein S12
85293at2157	Duplicated	ctg000001_P	372489	372830	-	164.6	106	https://www.orthodb.org/v10?query=85293at2157	30S ribosomal protein S12
87367at2157	Duplicated	ctg000107_P	347219	347827	+	78.9	118	https://www.orthodb.org/v10?query=87367at2157	50S ribosomal protein L13
87367at2157	Duplicated	ctg000008_P	283078	283632	+	76.1	117	https://www.orthodb.org/v10?query=87367at2157	50S ribosomal protein L13
87520at2157	Complete	ctg000107_P	273330	274607	-	121.3	258	https://www.orthodb.org/v10?query=87520at2157	diphthamide biosynthesis enzyme Dph2
88531at2157	Fragmented	ctg000002_P	1031375	1031884	+	37.6	80	https://www.orthodb.org/v10?query=88531at2157	6,7-dimethyl-8-ribityllumazine synthase
89321at2157	Complete	ctg000003_P	516275	517789	+	151.1	168	https://www.orthodb.org/v10?query=89321at2157	nucleolar
89943at2157	Duplicated	ctg000022_P	720565	721410	-	130.4	169	https://www.orthodb.org/v10?query=89943at2157	Ribosomal protein S4e
89943at2157	Duplicated	ctg000011_P	57852	58580	+	116.4	166	https://www.orthodb.org/v10?query=89943at2157	Ribosomal protein S4e
90096at2157	Missing
90641at2157	Missing
90817at2157	Missing
90882at2157	Complete	ctg000006_P	662543	663874	+	77.9	163	https://www.orthodb.org/v10?query=90882at2157	Mevalonate kinase
91154at2157	Complete	ctg000022_P	87033	87425	-	145.1	115	https://www.orthodb.org/v10?query=91154at2157	30S ribosomal protein S8
91297at2157	Missing
91632at2157	Duplicated	ctg000007_P	747052	747399	+	123.6	104	https://www.orthodb.org/v10?query=91632at2157	50S ribosomal protein L14
91632at2157	Duplicated	ctg000010_P	180465	180812	-	123.6	104	https://www.orthodb.org/v10?query=91632at2157	50S ribosomal protein L14
91936at2157	Missing
92409at2157	Complete	ctg000008_P	715135	715569	+	94.8	120	https://www.orthodb.org/v10?query=92409at2157	30S ribosomal protein S19e
92795at2157	Complete	ctg000002_P	299690	301720	+	102.4	195	https://www.orthodb.org/v10?query=92795at2157	tRNA pseudouridine(13) synthase TruD
93236at2157	Complete	ctg000010_P	518813	519583	-	86.6	161	https://www.orthodb.org/v10?query=93236at2157	V-type ATP synthase subunit D
93256at2157	Duplicated	ctg000007_P	214099	214617	-	99.6	113	https://www.orthodb.org/v10?query=93256at2157	30S ribosomal protein S4
93256at2157	Duplicated	ctg000005_P	536763	537287	-	99.4	113	https://www.orthodb.org/v10?query=93256at2157	30S ribosomal protein S4
94875at2157	Missing
94889at2157	Complete	ctg000022_P	587358	587951	-	106.8	167	https://www.orthodb.org/v10?query=94889at2157	non-canonical purine NTP pyrophosphatase
95578at2157	Fragmented	ctg000107_P	71924	73153	+	55.3	173	https://www.orthodb.org/v10?query=95578at2157	DNA primase small subunit PriS
96138at2157	Duplicated	ctg000003_P	982434	983201	-	139.0	187	https://www.orthodb.org/v10?query=96138at2157	30S ribosomal protein S3Ae
96138at2157	Duplicated	ctg000006_P	141566	142333	+	137.2	185	https://www.orthodb.org/v10?query=96138at2157	30S ribosomal protein S3Ae
97230at2157	Duplicated	ctg000001_P	451328	451852	+	143.6	124	https://www.orthodb.org/v10?query=97230at2157	Ribosomal protein L5
97230at2157	Duplicated	ctg000005_P	211024	211548	+	143.6	124	https://www.orthodb.org/v10?query=97230at2157	Ribosomal protein L5
98179at2157	Complete	ctg000000_P	566994	567491	+	107.6	111	https://www.orthodb.org/v10?query=98179at2157	30S ribosomal protein S15
98187at2157	Missing
98221at2157	Missing
98657at2157	Complete	ctg000002_P	582089	582865	+	135.8	183	https://www.orthodb.org/v10?query=98657at2157	Ribose-5-phosphate isomerase A
99236at2157	Complete	ctg000002_P	838827	839255	+	117.5	110	https://www.orthodb.org/v10?query=99236at2157	30S ribosomal protein S19
99734at2157	Complete	ctg000005_P	902724	903680	-	136.4	171	https://www.orthodb.org/v10?query=99734at2157	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase
99842at2157	Missing
101957at2157	Missing
102178at2157	Missing
102360at2157	Complete	ctg000003_P	471504	472406	-	206.0	217	https://www.orthodb.org/v10?query=102360at2157	Diphthine synthase
102399at2157	Missing
103467at2157	Fragmented	ctg000009_P	116432	116776	+	66.1	84	https://www.orthodb.org/v10?query=103467at2157	50S ribosomal protein L22
104254at2157	Fragmented	ctg000002_P	992664	993080	+	34.6	71	https://www.orthodb.org/v10?query=104254at2157	50S ribosomal protein L18e
104636at2157	Missing
104702at2157	Missing
104786at2157	Missing
105095at2157	Fragmented	ctg000002_P	214246	214701	+	44.5	64	https://www.orthodb.org/v10?query=105095at2157	TIGR00270 family protein
105165at2157	Missing
105421at2157	Complete	ctg000008_P	286348	287271	-	50.6	91	https://www.orthodb.org/v10?query=105421at2157	ribonuclease HII
105604at2157	Missing
105851at2157	Missing
106462at2157	Complete	ctg000009_P	321977	322438	+	148.3	121	https://www.orthodb.org/v10?query=106462at2157	Nucleoside diphosphate kinase
106603at2157	Missing
107015at2157	Duplicated	ctg000001_P	549171	549548	-	78.7	100	https://www.orthodb.org/v10?query=107015at2157	50S ribosomal protein L24
107015at2157	Duplicated	ctg000003_P	789622	790086	+	77.5	100	https://www.orthodb.org/v10?query=107015at2157	50S ribosomal protein L24
107212at2157	Missing
107993at2157	Complete	ctg000011_P	490899	491264	-	82.1	92	https://www.orthodb.org/v10?query=107993at2157	Ribosomal protein S10
108145at2157	Duplicated	ctg000007_P	483944	484387	-	121.6	103	https://www.orthodb.org/v10?query=108145at2157	30S ribosomal protein S17
108145at2157	Duplicated	ctg000000_P	492433	492786	+	120.9	96	https://www.orthodb.org/v10?query=108145at2157	30S ribosomal protein S17
108717at2157	Fragmented	ctg000005_P	638793	639686	-	100.4	122	https://www.orthodb.org/v10?query=108717at2157	50S ribosomal protein L18
109335at2157	Complete	ctg000007_P	637847	638407	-	118.3	150	https://www.orthodb.org/v10?query=109335at2157	Ribosomal protein L19/L19e
110798at2157	Fragmented	ctg000000_P	163910	164503	-	33.9	40	https://www.orthodb.org/v10?query=110798at2157	adenylate kinase
111803at2157	Complete	ctg000009_P	593931	596447	-	111.1	353	https://www.orthodb.org/v10?query=111803at2157	Ribonuclease Z
112466at2157	Missing
112720at2157	Fragmented	ctg000005_P	564812	565516	+	41.4	68	https://www.orthodb.org/v10?query=112720at2157	30S ribosomal protein S6e
113971at2157	Complete	ctg000002_P	1005285	1005644	-	80.7	74	https://www.orthodb.org/v10?query=113971at2157	50S ribosomal protein L23
114285at2157	Fragmented	ctg000012_P	157616	157894	+	116.0	88	https://www.orthodb.org/v10?query=114285at2157	30S ribosomal protein S11
114541at2157	Duplicated	ctg000010_P	475657	476037	-	85.1	75	https://www.orthodb.org/v10?query=114541at2157	50S ribosomal protein L7Ae
114541at2157	Duplicated	ctg000000_P	87917	88438	+	74.7	95	https://www.orthodb.org/v10?query=114541at2157	50S ribosomal protein L7Ae
115384at2157	Complete	ctg000000_P	323163	323447	+	40.5	47	https://www.orthodb.org/v10?query=115384at2157	50S ribosomal protein L31e
115425at2157	Duplicated	ctg000000_P	307385	307735	-	94.3	96	https://www.orthodb.org/v10?query=115425at2157	Ribosomal protein S5 domain 2-type fold
115425at2157	Duplicated	ctg000006_P	530671	531021	+	94.3	96	https://www.orthodb.org/v10?query=115425at2157	Ribosomal protein S5 domain 2-type fold
115808at2157	Fragmented	ctg000007_P	766695	768077	-	47.4	143	https://www.orthodb.org/v10?query=115808at2157	Geranylgeranyl reductase
115947at2157	Complete	ctg000007_P	693796	694422	+	86.2	78	https://www.orthodb.org/v10?query=115947at2157	Peptidyl-tRNA hydrolase
116294at2157	Duplicated	ctg000007_P	718097	718699	+	47.5	87	https://www.orthodb.org/v10?query=116294at2157	30S ribosomal protein S8e
116294at2157	Duplicated	ctg000010_P	214385	214987	-	47.5	87	https://www.orthodb.org/v10?query=116294at2157	30S ribosomal protein S8e
116732at2157	Missing
116879at2157	Missing
117225at2157	Duplicated	ctg000006_P	51868	52548	+	63.0	118	https://www.orthodb.org/v10?query=117225at2157	Orotate phosphoribosyltransferase
117225at2157	Duplicated	ctg000006_P	784516	785199	-	62.5	121	https://www.orthodb.org/v10?query=117225at2157	Orotate phosphoribosyltransferase
117241at2157	Missing
119044at2157	Missing
119723at2157	Missing
121171at2157	Missing
121548at2157	Duplicated	ctg000002_P	442922	443125	+	65.6	58	https://www.orthodb.org/v10?query=121548at2157	30S ribosomal protein S28e
121548at2157	Duplicated	ctg000003_P	642710	642913	+	65.6	58	https://www.orthodb.org/v10?query=121548at2157	30S ribosomal protein S28e
121943at2157	Complete	ctg000006_P	52961	53782	-	34.9	46	https://www.orthodb.org/v10?query=121943at2157	signal recognition particle
122290at2157	Missing
123463at2157	Complete	ctg000007_P	270599	271246	+	34.7	47	https://www.orthodb.org/v10?query=123463at2157	DNA-directed RNA polymerase subunit H
123503at2157	Missing
123853at2157	Missing
123859at2157	Complete	ctg000002_P	353398	353610	-	65.1	52	https://www.orthodb.org/v10?query=123859at2157	DNA-directed RNA polymerase subunit N
124073at2157	Complete	ctg000014_P	149567	149896	+	14.3	64	https://www.orthodb.org/v10?query=124073at2157	Elongation factor 1-beta
124429at2157	Missing
124805at2157	Duplicated	ctg000010_P	271174	271533	-	42.7	80	https://www.orthodb.org/v10?query=124805at2157	30S ribosomal protein S24e
124805at2157	Duplicated	ctg000107_P	219911	220270	+	42.7	80	https://www.orthodb.org/v10?query=124805at2157	30S ribosomal protein S24e
124913at2157	Missing
124973at2157	Missing
125162at2157	Complete	ctg000003_P	152376	152975	+	43.7	42	https://www.orthodb.org/v10?query=125162at2157	50S ribosomal protein L24
125788at2157	Missing
126193at2157	Complete	ctg000005_P	36911	37126	-	67.0	45	https://www.orthodb.org/v10?query=126193at2157	DNA-directed RNA polymerase subunit K
127293at2157	Missing
128227at2157	Duplicated	ctg000006_P	209722	210087	+	51.6	39	https://www.orthodb.org/v10?query=128227at2157	30S ribosomal protein S17e
128227at2157	Duplicated	ctg000000_P	1335177	1335542	-	51.6	39	https://www.orthodb.org/v10?query=128227at2157	30S ribosomal protein S17e
128960at2157	Complete	ctg000000_P	1394925	1395521	+	19.3	59	https://www.orthodb.org/v10?query=128960at2157	ribonuclease P
129321at2157	Complete	ctg000002_P	770335	770697	+	53.2	60	https://www.orthodb.org/v10?query=129321at2157	DNA-directed RNA polymerase subunit L
129447at2157	Complete	ctg000011_P	418820	419158	+	51.7	42	https://www.orthodb.org/v10?query=129447at2157	30S ribosomal protein S27e
129924at2157	Missing
130316at2157	Complete	ctg000006_P	384882	385451	-	23.9	67	https://www.orthodb.org/v10?query=130316at2157	DNA-binding protein
130364at2157	Complete	ctg000011_P	321196	321372	-	29.2	28	https://www.orthodb.org/v10?query=130364at2157	Ribosome biogenesis protein Nop10
131584at2157	Missing
